route,eigenaar,indexstatus_nu,doelgroep,hoofdtaak,primaire_zoekvraag,primaire_intentie,bewijsbehoefte,conversiedoel,overlap_met,overlapbesluit,canonieke_claimpagina
/inpaktips/,T2,index,Iemand die zelf inpakt en wil weten hoe hij dat doet zonder schade,"Leren hoe hij dozen vult, breekbaar verpakt en labelt",hoe pak ik verhuisdozen in,Zelf leren inpakken zonder schade,"Praktijkregels die herleidbaar zijn tot eigen werkervaring, en de grens waar zelf inpakken de aansprakelijkheid raakt",Zwakke conversie: dozen bestellen of het inpakken alsnog uitbesteden,"/inpakservice/, /dozencalculator/, /verhuischecklist/",BESLUIT: deze route blijft de gids en verkoopt niet; de commerciele vraag gaat naar de inpakservice via een enkel blok aan het eind. Het aantal dozen wordt hier niet berekend maar doorgelinkt naar /dozencalculator/.,/verzekering/ (grens aansprakelijkheid zelf ingepakte dozen)
/internationale-verhuizing/,T2,noindex,"Particulier of expat die naar Duitsland, Belgie, Engeland of verder Europa verhuist",Nagaan of dit bedrijf de bestemming doet en wat er aan documenten en timing bij komt kijken,internationale verhuizing Duitsland Belgie Engeland,Grensoverschrijdende verhuizing regelen,"Welke landen daadwerkelijk worden gereden, douane- en UK-documenten, groupage of direct transport, doorlooptijd en de afwijkende dekkingsgrens buiten Nederland",Aanvraag met bestemming en gewenste periode,"/, /diensten/, /veelgestelde-vragen/#vgv-zakelijk, /verzekering/","BESLUIT: deze route is canoniek voor alles over de grens. De grensstreekregel die nu in de hubtekst en in de FAQ staat, wordt daar teruggebracht tot een zin met doorklik. De afwijkende verzekeringsgrens buiten Nederland wordt hier genoemd en op /verzekering/ onderbouwd.","/algemene-voorwaarden/#avvv (binnen Europa), /algemene-voorwaarden/#avvvbe (buiten Europa), /verzekering/ (dekkingsgrens buitenland)"
/kantoorverhuizing/,T2,noindex,"Facilitair manager, kantoormanager of ondernemer die een bedrijf, praktijk of school verhuist",Beoordelen of dit bedrijf de verhuizing met zo min mogelijk stilstand kan uitvoeren,kantoorverhuizing bedrijfsverhuizing offerte,Zakelijke verhuizing met beperkte downtime organiseren,"Fasering en draaiboek, omgang met IT en archief, projectleiding en aanspreekpunt, werken buiten kantoortijden, en de zakelijke aansprakelijkheidsgrens met de bijbehorende voorwaardenset",Offerteaanvraag of projectgesprek met facilitair contactpersoon,"/zorgverhuizing/, /diensten/, /duurzaamheid/, /veelgestelde-vragen/#vgv-zakelijk","BESLUIT: deze route is canoniek voor zakelijk verhuizen in kantooromgeving. /zorgverhuizing/ is canoniek voor zorginstellingen waar bewonerscontinuiteit leidend is; overlappende onderwerpen (draaiboek, fasering) worden op zorg alleen vanuit het bewonersperspectief beschreven. De zakelijke FAQ blijft kort en verwijst hierheen.","/verzekering/ (zakelijke aansprakelijkheidsgrens), /certificeringen/ (VCA en ISO voor zakelijke selectie); voorwaardenset voor bedrijfsverhuizingen nog OPEN, zie handoff"
/klachtenregeling/,T3,index,Klant bij wie iets is beschadigd of anders gelopen dan afgesproken,Een klacht of schade melden en weten wat er daarna gebeurt,schade melden verhuisbedrijf klacht,Klacht of schade melden en de procedure kennen,"Meldtermijnen, meldwijze, de rol van de Geschillencommissie en wat er gebeurt als een uitspraak niet wordt nagekomen","Melding indienen, niet offerte aanvragen","/verzekering/, /algemene-voorwaarden/, /erkende-verhuizer/","BESLUIT: procedure en termijnen staan hier, bedragen en dekking op /verzekering/, de letterlijke tekst op /algemene-voorwaarden/. De verhuisoffertefunnel die nu op deze route staat, hoort hier niet: de hoofdactie is melden. Aangemeld bij T3.","/algemene-voorwaarden/#avvv (meldtermijnen), /erkende-verhuizer/ (garantiecertificaat)"
/klantervaringen/,T3,index,Twijfelende klant die wil zien wat eerdere klanten zeggen,Beoordelingen lezen en de betrouwbaarheid ervan wegen,De Kievit Verhuizingen ervaringen beoordelingen,Beoordelingen van dit bedrijf lezen en wegen,"Een bron van waarheid voor aantal en gemiddelde, met peildatum, meetmethode en label bij een selectie",Offerteaanvraag na leesbevestiging,"/, /over-ons/, /erkende-verhuizer/","BESLUIT: dit is de enige route die het reviewaantal en het gemiddelde voluit draagt. Overal elders (topbalk, homepage, hubtekst) staat hetzelfde cijfer met dezelfde peildatum en een link hierheen. De belofte dat reviews verderop op de pagina staan, mag alleen op een route staan die ze ook toont.","zichzelf, mits een bron en peildatum; het verschil 779 tegenover 796 moet eerst zijn opgelost"
/m3-calculator/,T2,index,Iemand die een offerte wil vergelijken of aanvragen en het volume van zijn inboedel moet opgeven,Het inboedelvolume in kubieke meter schatten en meesturen,hoeveel m3 is mijn inboedel,Inboedelvolume in kubieke meter schatten,"Rekenmodel met bron, modelversie, validatiemethode en beperking, plus wat een opname aan huis daarna toevoegt",Schatting meesturen in de offerteaanvraag,"/dozencalculator/, /werkwijze/, /inboedelopslag/","BESLUIT: volume hier, dozenaantal op /dozencalculator/; beide leggen het verschil expliciet uit en linken naar elkaar. De opname aan huis wordt hier alleen genoemd als vervolgstap en inhoudelijk beschreven op /werkwijze/.","zichzelf voor het rekenmodel, mits bron en versie zijn vastgelegd; /werkwijze/ voor de opname"
/montage-demontage/,T2,noindex,"Iemand met kasten, bedden of boxsprings die uit elkaar en weer in elkaar moeten",Nagaan wat er wel en niet wordt gemonteerd en wat hij zelf moet voorbereiden,meubels demonteren en monteren bij verhuizing,Meubelmontage en demontage laten uitvoeren,"Wat inbegrepen is, wat uitgesloten is, waar de bevoegdheidsgrens ligt bij gas, water en elektra, en wat de klant vooraf moet klaarleggen",Aanvraag met opgave van de te demonteren stukken,"/inpakservice/, /verhuischecklist/, /diensten/",BESLUIT: deze route is canoniek voor montagewerk en de bevoegdheidsgrenzen daarvan. De losse FAQ-antwoorden over wasmachine aansluiten en lampen ophangen blijven kort en verwijzen hierheen; ze worden hier niet herhaald maar uitgewerkt met de grens erbij.,"/algemene-voorwaarden/#avhd (handymandiensten), /verzekering/ (aansprakelijkheid bij montage)"
/over-ons/,T3,index,"Klant die wil weten aan wie hij zijn inboedel meegeeft, en wie de organisatie is",De organisatie achter de naam plaatsen en beoordelen,De Kievit Verhuizingen Venlo wie zijn zij,Bedrijfsidentiteit en geschiedenis beoordelen,"Rechtspersoon, handelsnaam, moederorganisatie, overnamedatum en wat de overname wel en niet veranderde",Vertrouwen; doorklik naar contact of offerte,"/, /certificeringen/, /duurzaamheid/, /vacatures/, /klantervaringen/","BESLUIT: deze route draagt de historie en de organisatiestructuur. De homepage vat dat samen in een blok en linkt hierheen. Certificaten, milieucijfers en beoordelingen staan niet hier maar op hun eigen canonieke route.",entity-map.md via T3; /certificeringen/ voor keurmerken; /klantervaringen/ voor beoordelingen
/particulier-verhuizen/,T2,noindex,"Particulier die een woning laat verhuizen, van studio tot vrijstaand huis",Beoordelen hoe een woningverhuizing hier verloopt en wat het duurder of goedkoper maakt,particuliere verhuizing laten doen kosten,Woningverhuizing laten uitvoeren door een verhuisbedrijf,"Woningtoegang en obstakels, de keuze tussen dienstpakketten, planning en levertijd, en welke factoren de prijs bepalen zonder bedragen te noemen",Offerteaanvraag met woningtype en gewenste datum,"/, /diensten/, /werkwijze/, /spoedverhuizing/, /seniorenverhuizing/","BESLUIT: dit is de brede particuliere dienst zonder plaatsmodifier; de homepage houdt de lokale zoekvraag. Het proces staat op /werkwijze/ en wordt hier alleen dienstspecifiek gemaakt (toegang, pakketkeuze, prijsfactoren). Tijdsdruk gaat naar /spoedverhuizing/, kleiner gaan wonen naar /seniorenverhuizing/.","/verzekering/ (dekking), /erkende-verhuizer/ (garantiecertificaat), /werkwijze/ (proces)"
/piano-verhuizen/,T2,noindex,"Eigenaar van een piano of vleugel, of een muziekschool",Nagaan of dit bedrijf het instrument veilig en verzekerd verplaatst,piano verhuizen kosten vleugel transport,Piano of vleugel laten verplaatsen,"Maat en gewicht die aan te nemen zijn, toegangsroute en trapgat, welke hulpmiddelen en hoeveel mensen, of stemmen wordt geregeld, en de dekking voor het instrument","Aanvraag met type instrument, verdieping en trapsituatie","/antiek-en-kunst-verhuizen/, /diensten/, /verzekering/","BESLUIT: deze route gaat over een enkel zwaar en kwetsbaar instrument met een toegangsvraagstuk; /antiek-en-kunst-verhuizen/ gaat over waardevolle objecten met conditierapport en waardering. De verhuislift wordt hier als mogelijke oplossing genoemd, niet als eigen materieel geclaimd.","/verzekering/ (dekking instrument), /erkende-verhuizer/"
/privacybeleid/,T3,index,Bezoeker of toezichthouder die wil weten wat er met zijn gegevens gebeurt,"Nagaan welke gegevens worden verwerkt, door wie en hoelang",privacyverklaring verhuisbedrijf offerteaanvraag gegevens,Verwerking van persoonsgegevens nagaan,"De werkelijke formuliervelden, verwerkers, bewaartermijnen, logging en eventuele doorgifte buiten de EER",Geen conversie,"/cookiebeleid/, /contact/, /toegankelijkheid/","BESLUIT: persoonsgegevens en verwerkers hier, apparaatopslag op /cookiebeleid/. De omschrijving van de velden moet exact gelijk zijn aan het gebouwde formulier; wijkt het formulier af, dan is dat een blocker en geen tekstkeuze.","zichzelf, mits gelijk aan de werkelijke Vercel- en Web3Forms-configuratie"
/seniorenverhuizing/,T2,noindex,"Senior die kleiner gaat wonen, en vaak een zoon of dochter die meekijkt en regelt",Beoordelen of het in eigen tempo kan en of er hulp is bij kiezen en ontspullen,seniorenverhuizing kleiner gaan wonen hulp,Verhuizing van een senior die kleiner gaat wonen begeleiden,"Hoe de coordinatie met familie loopt, hoeveel tijd wordt genomen, wat er met overtollige spullen gebeurt en wat er op de eerste avond klaarstaat","Aanvraag of belafspraak, vaak door een familielid","/zorgverhuizing/, /particulier-verhuizen/, /klantervaringen/","BESLUIT: deze route is voor de particuliere klant die zelf of via familie opdracht geeft. /zorgverhuizing/ is voor verhuizingen waarbij een zorgorganisatie of instelling partij is. Het onderscheid staat op beide routes in een zin, met wederzijdse link, zodat de bezoeker zichzelf herkent.","/verzekering/, /klantervaringen/ (echte referentie met toestemming)"
/sitemap/,T1,index,"Bezoeker die een pagina niet via het menu vindt, plus crawlers",Een route vinden en erheen klikken,sitemap De Kievit Verhuizingen,Sitestructuur overzien en navigeren,Geen inhoudelijke bewijslast; wel dat de lijst uit de navigatie komt en niet achterloopt,Geen conversie,alle routes,"BESLUIT: utility. Zij toont alle en alleen publiceerbare routes, zonder ankeroptimalisatie en zonder beschrijvende verkooptekst. Zolang de elf services noindex staan, horen zij hier niet als volwaardige bestemming; aangemeld bij T1.",geen
/spoedverhuizing/,T2,noindex,"Iemand met een verhuizing binnen enkele dagen of weken, vaak door een onverwachte oorzaak",Snel weten of er capaciteit is en wat er minimaal nodig is,spoedverhuizing op korte termijn verhuizer,Verhuizing op zeer korte termijn regelen,"Wat er realistisch nog kan qua capaciteit, hoe een aanvraag wordt getrieerd, wat de klant minimaal moet voorbereiden en wat er gebeurt als het niet lukt",Bellen; het formulier is hier de tweede keuze,"/particulier-verhuizen/, /contact/, /veelgestelde-vragen/#vgv-vooraf","BESLUIT: de tijdsdruk is de intentie, niet het woningtype. De primaire actie is bellen en niet het formulier; de gedeelde leadmodule is hier dus niet automatisch de juiste CTA. De reguliere planning staat op /particulier-verhuizen/ en /werkwijze/.",/verzekering/; toeslagen en capaciteitsbeloften geblokkeerd tot de eigenaar ze bevestigt
/toegankelijkheid/,T3,index,"Bezoeker met een beperking, of iemand die de toegankelijkheidsstatus toetst","Weten wat werkt, wat niet werkt en waar hij terechtkan",toegankelijkheidsverklaring website,Toegankelijkheidsstatus van de site nagaan,Een reproduceerbare meting achter elke uitspraak over contrast en bediening,Geen conversie; wel een hulproute,"/privacybeleid/, /contact/",BESLUIT: alleen uitspraken die door een vastgelegde meting worden gedekt. De meting staat in _werk/contrast-live-20260829.txt en de tekst blijft binnen wat dat bestand dekt.,"zichzelf, gedekt door de meting in _werk/contrast-live-20260829.txt"
/vacatures/,T2,index,"Werkzoekende verhuizer, chauffeur of leerling, en meelezende ouders of begeleiders",Beoordelen of dit werk bij hem past en dan solliciteren,werken bij verhuisbedrijf Venlo vacature verhuizer,Solliciteren bij dit verhuisbedrijf,"Wat het werk dagelijks inhoudt, welke opleidingsroute er is, onder welke cao het valt en hoe het contact na een bericht verloopt","Sollicitatie of open sollicitatie, niet een verhuisofferte","/over-ons/, /certificeringen/","BESLUIT: de doelgroep is niet de verhuisklant. De verhuisoffertefunnel die nu op deze route staat, is een intentiefout en wordt vervangen door een sollicitatieactie; de gedeelde leadmodule en de offertepill horen hier niet. Bedrijfsverhaal blijft op /over-ons/.","/over-ons/ (organisatie), /certificeringen/ (erkend leerbedrijf); cao-naam en vacaturestatus OPEN"
/veelgestelde-vragen/,T2,index,Bezoeker met een concrete vraag die nog geen offerte aanvraagt,Een antwoord vinden en daarna naar de bewijs- of taakpagina doorklikken,veelgestelde vragen verhuizen offerte betalen schade,Losse verhuisvraag beantwoord krijgen,Per antwoord de bron: welke voorwaardenset of welke eigen werkafspraak het antwoord draagt,Doorklik naar de taakpagina; offerte als tweede stap,alle routes met een eigen FAQ-blok,"BESLUIT: dit is de canonieke plek voor algemene vragen. Route-eigen FAQ-blokken houden alleen vragen die op die route ontstaan en die nergens anders passen; alle algemene vragen worden hierheen gerouteerd. De set van zeven algemene vragen die nu op de homepage, de hub en de elf services staat, wordt teruggebracht en vervangen door route-eigen vragen plus een verwijzing hierheen.",/algemene-voorwaarden/ per antwoord dat uit de voorwaarden komt; /verzekering/ voor bedragen; /klachtenregeling/ voor termijnen
/verhuischecklist/,T2,index,Iemand die net weet dat hij gaat verhuizen en overzicht zoekt over wat wanneer moet,Een tijdlijn doorlopen en punten afvinken,verhuischecklist wat moet ik regelen,Eigen verhuistaken plannen op een tijdlijn,"Bron en controledatum bij elke veranderlijke termijn (gemeente, huuropzegging, nutsbedrijven), want die verlopen",Zwakke conversie: de verhuizer vroeg vastleggen,"/werkwijze/, /inpaktips/, /dozencalculator/, /m3-calculator/","BESLUIT: deze route beschrijft wat de klant doet; /werkwijze/ beschrijft wat wij doen. Waar de checklist een punt noemt dat wij kunnen overnemen, staat een link naar de dienst en geen dienstbeschrijving. Inpaktechniek staat niet hier maar op /inpaktips/.",primaire bronnen per termijn nog OPEN; /werkwijze/ voor wat wij overnemen
/verzekering/,T3,index,Klant die wil weten waarvoor hij gedekt is en tot welk bedrag,"Nagaan wat er gedekt is, tot welk bedrag en wat niet",verhuizing verzekerd tot welk bedrag schade,Dekking en uitsluitingen bij een verhuizing kennen,"Actuele polis, limieten, waarderingsgrondslag, uitsluitingen en of opslag en zakelijk werk afwijken",Geen directe conversie; wel vertrouwen en doorklik,"/algemene-voorwaarden/, /klachtenregeling/, /erkende-verhuizer/, /inboedelopslag/",BESLUIT: alle bedragen en dekkingsgrenzen staan uitsluitend hier; elke andere route citeert met link en herhaalt geen bedrag. De opslagdekking staat hier onder een eigen kop en wordt op /inboedelopslag/ alleen aangehaald.,"zichzelf; route geblokkeerd tot polis, limieten, duur en uitsluitingen schriftelijk zijn bevestigd"
/werkwijze/,T2,index,"Klant die al bijna kiest en wil weten hoe het praktisch gaat, van aanvraag tot oplevering",Het proces begrijpen en weten wat er van hem verwacht wordt,hoe verloopt een verhuizing met een verhuisbedrijf,Het verhuisproces van dit bedrijf begrijpen,"Wat er bij de opname wordt bekeken, wie het aanspreekpunt is en wat er op de dag zelf gebeurt, herleidbaar tot de eigen werkwijze",Opname aanvragen,"/verhuischecklist/, /particulier-verhuizen/, /m3-calculator/","BESLUIT: het generieke proces staat een keer, hier. De elf services herhalen het niet maar beschrijven alleen de dienstspecifieke afwijking en linken hierheen. Wat de klant zelf doet staat op /verhuischecklist/.","/verzekering/, /erkende-verhuizer/; opnamevorm (huis, video of telefonisch) nog OPEN"
/zorgverhuizing/,T2,noindex,"Zorginstelling, locatiemanager of familie van een bewoner die naar of vanuit een zorglocatie verhuist",Beoordelen of dit bedrijf met bewoners en zorgpersoneel kan werken zonder de zorg te verstoren,zorgverhuizing zorginstelling bewoners verhuizen,Verhuizing binnen of vanuit een zorgomgeving organiseren,"Hoe bewonerscontinuiteit wordt geborgd, hoe met privacy en zorggegevens wordt omgegaan, wie de stakeholders zijn en welke veiligheidsafspraken gelden",Projectgesprek met de instelling; formulier is secundair,"/seniorenverhuizing/, /kantoorverhuizing/, /over-ons/",BESLUIT: hier is een organisatie de opdrachtgever en staat bewonerscontinuiteit centraal; /seniorenverhuizing/ is de particuliere tegenhanger en /kantoorverhuizing/ het zakelijke draaiboek zonder zorgcontext. Alle drie noemen het onderscheid in een zin met wederzijdse link.,"/verzekering/ (zakelijke grens), /certificeringen/ (VCA); referenties in de zorg vereisen expliciete toestemming"
